2024-07-01 10:00:00 - Operation: Entertainment, Amount: 150.0
2025-03-10 11:30:00 - Operation: Healthcare, Amount: 500.0
2025-03-17 10:00:00 - Operation: Education, Amount: 480.0
2025-03-17 11:30:00 - Operation: Insurance, Amount: 510.0
2025-03-24 10:00:00 - Operation: Travel, Amount: 490.0
2025-03-24 11:30:00 - Operation: Groceries, Amount: 520.0
2025-03-31 10:00:00 - Operation: Rent, Amount: 500.0
2025-03-31 11:30:00 - Operation: Utilities, Amount: 530.0
2025-04-07 10:00:00 - Operation: Entertainment, Amount: 510.0
2024-07-06 17:28:56 - Description: Travel, Amount: 200.0
2024-07-07 19:47:23 - Description: Groceries, Amount: 10.0
2024-07-07 19:47:29 - Description: Rent, Amount: 10.0
2024-07-07 19:47:34 - Description: Utilities, Amount: 10.0
2024-07-07 19:47:41 - Description: Entertainment, Amount: 15.0
2024-07-07 19:47:46 - Description: Dining, Amount: 15.0
2024-07-07 19:47:53 - Description: Travel, Amount: 5.0
2024-07-07 19:47:58 - Description: Education, Amount: 5.0
2024-07-07 19:48:04 - Description: Healthcare, Amount: 20.0
2024-07-07 19:48:06 - Description: Healthcare, Amount: 20.0
2024-07-07 19:48:11 - Description: Insurance, Amount: 20.0
2024-07-07 19:48:14 - Description: Miscellaneous, Amount: 20.0
2024-07-08 00:05:05 - Description: Utilities, Amount: 123.0
2024-07-08 02:45:52 - Description: Utilities, Amount: 123.0
2024-07-08 02:46:55 - Description: 123, Amount: 123.0
2024-07-08 12:49:09 - Description: Travel, Amount: 100.0
2024-07-08 12:49:49 - Description: Healthcare, Amount: 100.0
